TimeStamp,GSR Data,ECG Data,EMG Data,Acc1 X,Acc1 Y,Acc1 z,Acc2 X,Acc2 Y,Acc2 z
1421,487,484,512,15516,-5492,3256,4332,4148,-15048
1427,487,486,508,15572,-5396,3320,4444,4112,-15024
1432,487,485,506,15600,-5492,3292,4292,4100,-15160
1438,487,487,505,15660,-5392,3272,4300,4140,-15052
1444,487,489,515,15568,-5560,3036,4272,4000,-15176
1449,488,493,510,15600,-5452,3236,4368,4080,-15032
1456,488,494,509,15640,-5516,3160,4412,4004,-15124
1461,488,496,511,15524,-5392,3196,4248,4088,-15200
1467,488,498,515,15528,-5552,3248,4268,4068,-15236
1472,488,500,515,15548,-5516,3300,4264,4084,-15172
1478,488,500,516,15692,-5492,3372,4460,4228,-15164
1483,488,502,514,15612,-5500,3236,4388,4068,-15124
1489,488,505,511,15444,-5420,3236,4344,4124,-15020
1496,488,507,511,15520,-5456,3420,4488,4200,-15088
1501,489,505,515,15584,-5380,3224,4364,4280,-15064
1507,489,506,514,15696,-5412,3140,4392,4180,-15052
1512,489,508,513,15600,-5432,3192,4320,4240,-15032
1518,489,510,513,15532,-5420,3196,4352,4240,-15176
1523,489,509,511,15596,-5488,3436,4340,4136,-15036
1529,489,508,513,15608,-5496,3268,4412,4064,-15148
1534,489,505,508,15552,-5460,3308,4332,3984,-15096
1541,489,501,504,15560,-5536,3244,4340,4012,-15176
1547,489,497,507,15544,-5560,3400,4332,4104,-15276
1552,489,497,501,15652,-5440,3296,4296,4076,-15088
1558,489,496,499,15612,-5444,3140,4272,4108,-15096
1563,489,495,496,15556,-5444,3248,4348,4092,-14964
1569,488,496,494,15560,-5516,3248,4444,4156,-15220
1574,488,495,493,15632,-5452,3144,4380,4188,-15184
1581,488,496,496,15604,-5384,3228,4348,4244,-15112
1586,488,497,497,15536,-5504,3220,4440,4192,-15204
1592,488,497,496,15604,-5560,3128,4328,4120,-15052
1598,488,498,496,15640,-5536,3208,4284,4224,-14948
1603,488,500,503,15516,-5444,3180,4344,4256,-15148
1609,488,502,501,15588,-5484,3192,4436,4264,-15272
1614,488,502,497,15600,-5352,3236,4372,4168,-15116
1620,487,500,500,15608,-5420,3072,4368,4080,-15088
1626,487,500,497,15568,-5312,3236,4304,4172,-15216
1632,487,502,496,15544,-5520,3140,4416,4104,-15212
1638,487,504,498,15628,-5392,3168,4372,4072,-14984
1643,487,504,499,15556,-5428,3288,4392,4100,-15172
1649,487,505,501,15560,-5468,3348,4300,4052,-15068
1654,487,505,502,15468,-5452,3328,4328,4104,-15036
1660,486,505,505,15564,-5392,3312,4244,3988,-15044
1666,486,505,503,15532,-5476,3324,4348,4044,-15192
1672,486,504,507,15600,-5556,3264,4436,4028,-15204
1677,486,505,503,15504,-5480,3180,4344,4188,-15120
1683,486,506,501,15600,-5408,3320,4344,4076,-15064
1689,486,509,500,15488,-5380,3292,4404,4032,-15096
1694,485,510,500,15548,-5476,3132,4320,4036,-14988
1700,485,510,507,15564,-5460,3404,4380,4052,-15164
1705,485,510,507,15608,-5416,3124,4304,4052,-15152
1712,485,509,503,15560,-5456,3412,4380,4136,-15192
1717,485,507,502,15584,-5376,3272,4308,4048,-15104
1723,485,506,505,15596,-5388,3288,4320,4108,-15124
1728,485,507,507,15516,-5492,3348,4308,4112,-15156
1734,485,508,503,15484,-5392,3340,4436,4036,-15072
1740,484,509,502,15480,-5524,3336,4368,4244,-15008
1745,484,509,503,15532,-5476,3356,4324,4120,-15036
1752,484,509,504,15516,-5448,3324,4388,4256,-15244
1757,484,507,510,15560,-5460,3176,4344,4096,-15172
1763,484,507,507,15604,-5440,3344,4340,4156,-15152
1768,484,507,509,15528,-5432,3264,4344,4124,-15076
1774,484,506,508,15520,-5408,3360,4444,4188,-15012
1780,484,507,501,15532,-5432,3356,4344,4156,-15172
1785,484,507,503,15524,-5464,3316,4452,4088,-15220
1792,484,507,506,15528,-5548,3324,4356,4060,-15084
1797,483,507,502,15692,-5484,3316,4368,4096,-15120
1803,483,507,501,15544,-5504,3240,4368,4180,-15184
1808,483,507,507,15648,-5436,3296,4304,4040,-15168
1814,483,508,505,15560,-5416,3184,4376,4140,-15136
1819,483,508,505,15544,-5416,3340,4348,4068,-14996
1825,483,508,507,15596,-5436,3140,4252,4140,-15084
1831,483,508,513,15552,-5524,3416,4396,4124,-15132
1837,483,509,510,15592,-5496,3232,4344,4184,-15116
1843,483,510,505,15572,-5496,3272,4372,4104,-15084
1848,483,512,505,15680,-5516,3120,4340,4096,-15060
1854,482,512,507,15624,-5516,3240,4348,4136,-15104
1859,482,516,509,15572,-5408,3256,4212,4132,-15120
1865,482,518,513,15572,-5456,3308,4424,4116,-15104
1870,482,522,511,15540,-5464,3360,4312,4052,-15008
1876,482,522,512,15572,-5460,3472,4396,4092,-15092
1883,482,523,513,15636,-5528,3280,4428,4196,-15204
1888,482,518,515,15564,-5408,3360,4368,4100,-15132
1894,482,512,512,15600,-5536,3352,4288,4128,-15104
1899,482,508,503,15696,-5424,3280,4332,4124,-15112
1905,482,502,498,15508,-5476,3348,4504,4136,-15192
1910,481,500,500,15496,-5428,3344,4392,4136,-15292
1916,481,501,504,15600,-5452,3236,4396,4164,-15124
1922,481,501,500,15580,-5464,3360,4264,4156,-15128
1928,481,503,499,15572,-5512,3184,4292,4052,-15000
1934,481,503,498,15476,-5500,3160,4340,4124,-15192
1939,481,500,502,15516,-5464,3376,4324,4156,-15180
1945,481,501,500,15572,-5612,3324,4300,4156,-15152
